"","coding","d.trees","googleable","jitl","n.nets","nlp","non.googleable","sna","substantive","viz","wrangling"
"1170",6,2,10,1,2,6,7,3,4,0,2
"1248",4,1,8,1,1,4,3,2,2,0,2
"1251",7,3,14,2,3,7,6,2,5,2,3
"1266",3,2,7,1,2,2,3,2,4,0,2
"1270",9,3,17,2,3,6,6,6,4,2,3
"1273",8,2,13,1,3,7,8,3,5,2,3
"1343",9,3,16,2,3,7,7,4,4,2,3
"1459",3,4,9,1,3,1,3,1,3,1,2
"1467",7,2,14,2,3,7,7,3,4,2,3
"1513",7,3,14,2,3,6,6,5,5,2,2
"1526",5,3,13,2,3,6,5,3,4,1,2
"1567",5,3,11,1,0,5,3,3,1,1,2
"1586",7,1,9,1,0,5,4,3,3,1,3
"1599",8,3,15,1,3,7,8,5,4,2,3
"1605",7,2,13,2,2,5,4,4,3,1,3
"1753",6,3,15,2,3,5,4,4,4,1,3
"1756",10,4,19,2,3,8,7,6,5,2,3
"1826",7,2,10,1,0,1,3,5,0,2,3
"1872",9,4,16,2,3,5,6,4,4,2,3
"1878",6,3,14,1,3,7,8,3,4,1,3
"1884",7,3,13,2,2,5,6,3,3,2,3
"1937",6,3,11,0,0,5,4,4,3,1,3
"1942",2,1,6,0,1,4,3,1,3,0,2
"1955",2,3,7,1,1,1,1,2,1,0,1
"1961",8,2,12,1,2,7,9,4,4,3,4
"1962",7,2,13,2,3,6,6,2,4,2,3
